Name,cls
CC(C)(C)N1C=C2C(=N1)C(=O)CC3(O2)CCN(CC3)C(=O)C4=CC(=NC5=CC=CC=C54)C6=CC=CC=C6Cl,1
CC1=CC=CC=C1C2=NC3=CC=CC=C3C(=C2)C(=O)N4CCC5(CC4)CC(=O)C6=NN(C=C6O5)C(C)(C)C,1
CCOC1=NC2=CC=CC=C2C(=C1)C(=O)N3CCC4(CC3)CC(=O)C5=NN(C=C5O4)C(C)(C)C,1
CC(C)(C)N1C=C2C(=N1)C(=O)CC3(O2)CCN(CC3)C(=O)C4=CC(=NC5=CC=CC=C54)OC,1
C[C@]12CC[C@H](C1(C)C)CC(=O)N2CC3=CN(N=N3)C4=CC=C(C=C4)O,1
CC(C)C[C@@H](C(=O)C(=O)NC1=CC=CC2=C1C=CC=N2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC3=CC=CC=C3,1
CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N(C(=O)N(C3C4=CC=CC=C4)CC(=O)NCCCCCC(=O)NC5=CC=CC6=C5CN(C6=O)C7CCC(=O)NC7=O)C,1
C1CC1C2=CC(=NN2)NC(=O)C(C3=CC=CC=C3)F,1
C1=CC(=CC(=C1)NC(=O)NC2=CC=C(C=C2)C3=NC=CC4=C3C(=NN4)N)C(F)(F)F,1
CN1CCN(CC1)C2=CC3=C(C=C(C=C3NS(=O)(=O)C4=CC=CC(=C4)[N+](=O)[O-])C(F)(F)F)N=C2,1
CC1=C(C(=O)C2=C(N1C)C=CC(=C2)OC)C(=O)NC3=CC(=C(C=C3)OC4=NC=NC5=C4C(=CN5)C6=CC=CC=C6)F,1
CC1=C2C=CC3=NC4=CC=CC(=C4N=C3C2=CC=C1)C(=O)NCCN(C)C,1
CC1=C(SC=N1)C2=CC=C(C=C2)[C@H](C)NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)COCCOCCN(C)CC[C@H](CSC4=CC=CC=C4)NC5=C(C=C(C=C5)S(=O)(=O)NC(=O)C6=CC=C(C=C6)N7CCN(CC7)CC8=C(CCC(C8)(C)C)C9=CC=C(C=C9)Cl)S(=O)(=O)C(F)(F)F)O,1
CN(CCCNC(=O)C1=C2C(=CC=C1)N=C3C=CC(=CC3=N2)Cl)CCCNC(=O)C4=C5C(=CC=C4)N=C6C=CC(=CC6=N5)Cl,1
CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4,1
C1CN(CCN1C2=CC=CC=C2)C(=S)SCC(=O)NC3=CC(=CC=C3)NC(=O)C4=CC=CC=N4,1
CC(C)(C)OC(=O)N1CCN(CC1)C(=S)SCC(=O)NC2=CC(=CC=C2)NC(=O)C3=CC=CC=N3,1
C1=CC=C(C=C1)C2=C(NC3=C2C(=NC=N3)NC4=CC(=CC=C4)Cl)C5=CC=CC=C5,1
CN(CCCNC(=O)C1=CC=CC2=CC3=C(C=CC(=C3)F)N=C21)CCCNC(=O)C4=CC=CC5=CC6=C(C=CC(=C6)F)N=C54,1
CNC(=O)C1=NC=CC(=C1)OC2=CC3=C(C=C2)N(CCO3)C(=O)NC4=CC=C(C=C4)Cl,1
CC1=C(SC=N1)C2=CC=C(C=C2)[C@H](C)NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)CCCCCCN4CCN(CC4)CC[C@H](CSC5=CC=CC=C5)NC6=C(C=C(C=C6)S(=O)(=O)NC(=O)C7=CC=C(C=C7)N8CCN(CC8)CC9=C(CCC(C9)(C)C)C1=CC=C(C=C1)Cl)S(=O)(=O)C(F)(F)F)O,1
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4SC,1
CC(=O)NCC1=CC=C(C=C1)C2=CN=C(O2)NC3=CC4=C(C=C3)C(=CN4C)C#N,1
C1=CC(=CC(=C1)Cl)NC2=C3C=CN=CC3=C4C=CC=C(C4=N2)C(=O)O,1
C[C@H](C1=CC=C(C=C1)NC2=NC=C3C=C(C=CC3=N2)C4=CC=NC=C4)NC5=CC(=O)CC5,1
C1CN(CCN1C2=CC=CC=C2)C(=S)SCCC(=O)NC3=CC(=CC=C3)NC(=O)C4=CC=CC=N4,1
CC(C)(C1=CC2=C(C=C1)[C@@](N(C2=O)CC3=CC=C(C=C3)Cl)(C4=CC=C(C=C4)Cl)OCCO)O,1
C1=CC=C(C=C1)C2=CN=C(O2)NC3=CC4=C(C=C3)C(=CN4)C5=CN=CO5,1
CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)OCC(=O)ONC6=CN(C(=C6)C(=O)NC7=CN(C(=C7)C(=O)OCC)COC)COC)O,1
CCOC1=C(C=CC(=C1)C(=CC#N)C2=CC(=C(C=C2)OC)NC(=O)CN)OC.Cl,1
COC1=CC=CC=C1NC2=C3C=CN=CC3=C4C=CC=C(C4=N2)C5=NC=NN5,1
CC(=O)NC1=C(C=CC(=C1)C(=CC#N)C2=CC(=CC(=C2)OC)OC)OC,1
CCCC1=CC=C(C=C1)OCC(=O)N(CC2=NC(=NO2)C3=CN=CC=C3)C(C)C,1
CC(C)N1CCC(CC1)C2=NC3=C4N2CCNC(=O)C4=CN=C3,1
CC(=O)O[C@@H]1C[C@]2([C@@H](CC[C@@H]2O)C3=C1[C@]4([C@H](OC(=O)/C(=C/N5CCN(CC5)C6CCN(CC6)C)/C4=C(C3=O)O)COC)C)C,1
C[C@@H]1CN(C[C@@H](O1)C)C2=NC(=CC(=N2)N3CCOCC3)C4=CN=C(C=C4C(F)(F)F)N,1
CN(C)CCCOC1=CC=CC2=C1C=CC3=NC4=CC=CC(=C4N=C23)C(=O)NCCN(C)C,1
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4C(=O)OC,1
CC(=O)O[C@@H]1C[C@]2([C@@H](CC[C@@H]2O)C3=C1[C@]4([C@H](OC(=O)/C(=C/N5CCN(CC5)C)/C4=C(C3=O)O)COC)C)C,1
C/C(=C\C1=CC(=C(C=C1)OC)O)/C(C2=CC(=C(C(=C2)OC)OC)OC)O,1
CN1C2=CC=CC=C2C=C1C3=C(C=C(N3)C4=NC(=NC=C4)N)C(=O)N,1
CC1(CC(CCO1)(CCNC2=CC(=CC=C2)OC(F)(F)F)C3=CC=CC=C3)C,1
CC1=C(C=C(C=C1)NCCC2(CCOC(C2)(C)C)C3=CC=CC=C3)OC,1
CCC1=CC=C(C=C1)C(=O)N(CCCN)C(CC)C2=NC3=C(C(=O)N2CC4=CC=CC=C4)SC=C3,1
CCC(C1=NC2=C(C(=O)N1CC3=CC=CC=C3)SC=C2)N(CCCN)C(=O)C4=CC=CC(=C4)C,1
C1CCC(C1)SC2=NN=C(N2C3=CN=CC=C3)COC4=CC(=C(C=C4)Cl)Cl,1
CC1=NC=C(C=C1)N2CCC(CC2)CNC3=NC(=NC=C3C)C4=CC=CC=C4C(C)C,1
C1COCCC12N=C(N=C(N2OCCCOC3=CC(=C(C=C3)Cl)Cl)N)N.Br,1
C[C@]12CC[C@H](C1(C)C)CC(=O)N2CC3=CN(N=N3)C4=CC(=CC=C4)Br,1
CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=CC(=C4)CO,1
CS(=O)(=O)C1=CC=C(C=C1)C2=CC=CN3C2=NC(=N3)NC4=CC(=CC=C4)N5CCC(CC5)N6CCOCC6,1
CN(C)CCNC(=O)C1=CC=C(C=C1)NC2=NC=C3C=C(C=CC3=N2)C4=CC=NC=C4,1
CCCC1=CC=C(C=C1)OCC(=O)N(CC(=O)NC2=CN=NC=C2)C(C)C,1
CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)/C(=C/N(CC=C)CC=C)/C4=C(C3=O)O)COC)C)C,1
